Event	ID	Name			Wwise Object Path	Notes
	126537269	Switch_Paper_Short			\Default Work Unit\Switch_Paper_Short	
	233964938	Interaction_Newspaper_CCiM			\Default Work Unit\Interaction_Newspaper_CCiM	
	385821004	Interaction_Newspaper_TCC			\Default Work Unit\Interaction_Newspaper_TCC	
	426932622	InBewegung			\Default Work Unit\InBewegung	
	854870849	Interaction_Fridge			\Default Work Unit\Interaction_Fridge	
	1082295148	Switch_Table			\Default Work Unit\Switch_Table	
	1285051097	Interaction_Plant			\Default Work Unit\Interaction_Plant	
	1877847629	Door			\Default Work Unit\Door	
	2110143099	Switch_Fill			\Default Work Unit\Switch_Fill	
	2143311869	Interaction_Picture_Shelf			\Default Work Unit\Interaction_Picture_Shelf	
	2530462639	Interaction_Picture_Daughter			\Default Work Unit\Interaction_Picture_Daughter	
	2574017784	Interaction_Guitar			\Default Work Unit\Interaction_Guitar	
	2826267179	Interaction_Mug			\Default Work Unit\Interaction_Mug	
	2849394967	Interaction_Picture_Family			\Default Work Unit\Interaction_Picture_Family	
	2935388662	Switch_Paper			\Default Work Unit\Switch_Paper	
	3228461146	Music_Slow			\Default Work Unit\Music_Slow	
	3783922612	Interaction_Mug_Sound_Only			\Default Work Unit\Interaction_Mug_Sound_Only	
	3900887599	Interaction			\Default Work Unit\Interaction	
	3913038626	Interaction_Pills			\Default Work Unit\Interaction_Pills	
	3913799797	Interaction_Knife			\Default Work Unit\Interaction_Knife	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	5440349	Schritt_-09	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Schritte\Schritt_-09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\schritte\Schritt_-09		50038
	13483053	Knife__My_last_resort	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Voicelines\Knife__My_last_resort_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Knife_Voicelines\Knife__My_last_resort		297388
	35112935	Tassen_-03	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Sounds\Tassen_-03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Mugs\Tassen_-03		133412
	38687384	Myst_-02	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Sounds\Myst_-02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Myst\Myst_-02		84280
	82378073	Pills__I_forgot_to_take_them_again	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Voicelines\Pills__I_forgot_to_take_them_again_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Pills_Voicelines\Pills__I_forgot_to_take_them_again		349696
	92361229	Guitar__I_havent_used_this_in_ages	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Voicelines\Guitar__I_havent_used_this_in_ages_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Guitar_Voicelines\Guitar__I_havent_used_this_in_ages		619920
	99243812	Main Theme slow--Master	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Music\Main Theme slow--Master_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Music\Main Theme slow--Master		12315996
	124993505	Newspaper_TCC__It_should_have_been_me_instead	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Voicelines\Newspaper_TCC__It_should_have_been_me_instead_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Voicelines\Newspaper_TCC_Voicelines\Newspaper_TCC__It_should_have_been_me_instead		312516
	126296006	Tür_-06	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Sounds\Tür_-06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Door\Tür_-06		149272
	138163342	Tassen_-11	D:\Uni Projekte\Github\Carnation-2\Carnation-2_WwiseProject\.cache\Windows\SFX\Sounds\Tassen_-11_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Sounds\Mugs\Tassen_-11		143380
